"id","V1","V2"
"1",1,669
"2",2,751
"3",2,912
"4",2,963
"5",3,284
"6",3,310
"7",4,677
"8",4,703
"9",5,1159
"10",7,702
"11",8,1118
"12",11,238
"13",12,138
"14",12,1308
"15",12,1309
"16",14,437
"17",14,452
"18",14,702
"19",15,805
"20",16,603
"21",16,610
"22",16,621
"23",16,970
"24",17,385
"25",17,597
"26",17,609
"27",19,68
"28",19,375
"29",19,419
"30",21,577
"31",21,914
"32",21,1220
"33",21,1338
"34",21,1363
"35",22,1388
"36",23,411
"37",25,447
"38",25,1404
"39",26,422
"40",31,89
"41",31,97
"42",31,377
"43",33,342
"44",35,772
"45",36,595
"46",37,73
"47",37,801
"48",38,1450
"49",40,671
"50",41,610
"51",42,1323
"52",43,1439
"53",44,433
"54",45,1088
"55",45,1336
"56",46,219
"57",47,1062
"58",50,287
"59",50,1396
"60",52,313
"61",53,1087
"62",53,1354
"63",53,1385
"64",53,1419
"65",55,1339
"66",57,1039
"67",59,1176
"68",59,1375
"69",60,394
"70",61,667
"71",62,777
"72",63,137
"73",63,264
"74",63,760
"75",63,1221
"76",63,1282
"77",63,1458
"78",64,686
"79",64,721
"80",64,1177
"81",65,86
"82",65,425
"83",65,1023
"84",65,1429
"85",66,915
"86",68,375
"87",68,419
"88",69,287
"89",69,706
"90",69,1075
"91",69,1226
"92",70,313
"93",70,1215
"94",71,120
"95",72,264
"96",72,301
"97",72,784
"98",72,1284
"99",72,1458
"100",73,130
"101",73,254
"102",74,901
"103",75,1017
"104",78,283
"105",78,375
"106",78,876
"107",78,905
"108",78,1274
"109",80,280
"110",82,674
"111",82,905
"112",83,291
"113",83,402
"114",83,425
"115",83,590
"116",83,817
"117",84,320
"118",84,346
"119",86,812
"120",87,773
"121",90,283
"122",90,1274
"123",92,766
"124",92,1121
"125",92,1267
"126",92,1349
"127",93,588
"128",93,1430
"129",94,108
"130",94,1293
"131",97,377
"132",97,665
"133",100,1401
"134",102,689
"135",102,1377
"136",106,870
"137",107,1103
"138",108,1293
"139",109,336
"140",109,1232
"141",114,150
"142",114,890
"143",114,1061
"144",114,1261
"145",115,731
"146",115,1263
"147",118,176
"148",119,1178
"149",120,277
"150",121,285
"151",121,291
"152",121,296
"153",121,677
"154",121,794
"155",122,183
"156",122,530
"157",122,722
"158",122,1143
"159",122,1160
"160",122,1414
"161",122,1415
"162",123,1163
"163",125,462
"164",125,722
"165",128,1354
"166",128,1365
"167",128,1381
"168",128,1397
"169",129,613
"170",130,1040
"171",130,1107
"172",130,1322
"173",131,1222
"174",132,1341
"175",133,157
"176",133,255
"177",133,1178
"178",133,1281
"179",134,1210
"180",135,424
"181",135,816
"182",137,1126
"183",140,780
"184",141,817
"185",141,941
"186",141,1446
"187",142,804
"188",142,899
"189",144,1124
"190",144,1210
"191",148,356
"192",148,1170
"193",149,842
"194",150,356
"195",150,1061
"196",150,1153
"197",150,1165
"198",150,1261
"199",154,198
"200",157,195
"201",157,926
"202",157,1178
"203",158,382
"204",158,779
"205",158,906
"206",158,912
"207",158,1019
"208",161,653
"209",161,1172
"210",163,479
"211",163,1163
"212",165,532
"213",166,294
"214",166,727
"215",166,942
"216",166,1064
"217",170,528
"218",170,558
"219",172,410
"220",172,1356
"221",175,1156
"222",177,776
"223",180,558
"224",182,213
"225",182,847
"226",183,530
"227",183,559
"228",183,1143
"229",183,1160
"230",183,1414
"231",184,513
"232",187,756
"233",194,667
"234",195,224
"235",195,611
"236",195,926
"237",195,1178
"238",196,1001
"239",200,487
"240",200,1243
"241",201,474
"242",203,972
"243",204,356
"244",204,847
"245",204,1107
"246",204,1237
"247",206,1204
"248",207,722
"249",207,1035
"250",209,751
"251",209,981
"252",212,1248
"253",213,557
"254",213,1240
"255",214,473
"256",214,733
"257",214,1157
"258",215,477
"259",215,626
"260",216,1220
"261",216,1312
"262",216,1429
"263",217,1082
"264",217,1228
"265",218,614
"266",219,1158
"267",221,1411
"268",222,383
"269",222,819
"270",224,444
"271",225,465
"272",225,694
"273",226,822
"274",226,1264
"275",227,439
"276",227,1459
"277",228,1264
"278",231,325
"279",232,611
"280",232,667
"281",236,330
"282",237,1333
"283",240,767
"284",240,1300
"285",240,1401
"286",242,243
"287",246,1209
"288",248,342
"289",248,1460
"290",251,688
"291",251,1087
"292",251,1419
"293",253,893
"294",255,1024
"295",255,1104
"296",258,811
"297",259,1009
"298",259,1117
"299",262,1397
"300",263,615
"301",263,1000
"302",263,1378
"303",264,1284
"304",264,1342
"305",265,364
"306",270,976
"307",273,618
"308",273,1123
"309",273,1295
"310",274,414
"311",274,1381
"312",274,1389
"313",275,797
"314",275,1177
"315",277,1308
"316",278,358
"317",278,409
"318",278,1175
"319",279,374
"320",279,396
"321",279,780
"322",280,1132
"323",282,1124
"324",283,876
"325",284,521
"326",284,828
"327",285,425
"328",285,590
"329",285,817
"330",287,1226
"331",287,1361
"332",289,685
"333",290,836
"334",290,1187
"335",290,1335
"336",290,1338
"337",291,296
"338",291,677
"339",291,743
"340",292,1019
"341",296,677
"342",296,794
"343",298,323
"344",299,323
"345",299,408
"346",299,603
"347",299,1358
"348",301,784
"349",301,1458
"350",302,345
"351",302,1409
"352",303,974
"353",303,1114
"354",304,1442
"355",305,859
"356",305,1136
"357",305,1298
"358",308,830
"359",308,912
"360",310,1067
"361",311,380
"362",315,671
"363",317,1041
"364",318,392
"365",319,1460
"366",323,408
"367",323,603
"368",323,1342
"369",325,457
"370",325,833
"371",325,1110
"372",325,1450
"373",326,661
"374",327,1316
"375",330,1202
"376",332,581
"377",332,1405
"378",334,780
"379",334,973
"380",334,1366
"381",335,1226
"382",336,1232
"383",337,885
"384",341,935
"385",342,571
"386",343,1076
"387",344,1353
"388",347,1312
"389",347,1429
"390",348,897
"391",348,1280
"392",349,1127
"393",351,371
"394",352,1287
"395",352,1368
"396",353,595
"397",355,497
"398",356,723
"399",356,1061
"400",358,687
"401",359,1004
"402",362,839
"403",363,466
"404",364,438
"405",366,1139
"406",367,1270
"407",368,459
"408",369,1189
"409",370,1182
"410",372,1222
"411",374,396
"412",374,780
"413",374,861
"414",374,1353
"415",375,876
"416",380,694
"417",382,469
"418",386,1348
"419",387,1453
"420",388,427
"421",389,1082
"422",391,620
"423",391,895
"424",395,589
"425",395,743
"426",396,692
"427",396,861
"428",398,832
"429",399,1328
"430",403,580
"431",404,445
"432",407,1038
"433",407,1055
"434",409,410
"435",409,1175
"436",410,1012
"437",410,1356
"438",410,1420
"439",411,960
"440",415,1103
"441",416,447
"442",416,712
"443",416,1014
"444",417,1340
"445",419,458
"446",419,1433
"447",422,466
"448",425,590
"449",425,817
"450",425,941
"451",425,1353
"452",426,457
"453",426,774
"454",427,716
"455",429,710
"456",430,864
"457",430,1331
"458",435,1122
"459",435,1333
"460",437,702
"461",439,1459
"462",440,583
"463",440,1007
"464",445,918
"465",445,1227
"466",446,826
"467",447,913
"468",448,721
"469",448,1125
"470",449,769
"471",449,869
"472",449,1391
"473",450,874
"474",451,997
"475",452,761
"476",455,1128
"477",456,690
"478",456,1110
"479",457,1041
"480",462,707
"481",465,1221
"482",466,673
"483",469,600
"484",469,1267
"485",470,488
"486",470,522
"487",470,624
"488",471,632
"489",471,745
"490",471,857
"491",471,1250
"492",472,497
"493",473,850
"494",473,1144
"495",473,1154
"496",474,564
"497",475,1150
"498",476,730
"499",478,494
"500",478,593
"501",478,627
"502",479,521
"503",480,512
"504",480,764
"505",481,497
"506",481,751
"507",481,1344
"508",483,765
"509",483,1150
"510",486,628
"511",486,637
"512",487,492
"513",487,630
"514",487,650
"515",487,729
"516",487,749
"517",487,991
"518",488,723
"519",490,630
"520",490,1057
"521",492,729
"522",492,751
"523",492,991
"524",493,518
"525",494,593
"526",496,1447
"527",499,739
"528",499,1345
"529",500,984
"530",501,744
"531",501,1345
"532",502,536
"533",502,855
"534",502,1414
"535",504,1283
"536",505,816
"537",507,562
"538",508,1244
"539",509,624
"540",510,1153
"541",512,650
"542",512,764
"543",514,1037
"544",516,955
"545",517,1204
"546",517,1255
"547",518,1150
"548",519,546
"549",520,848
"550",521,544
"551",521,765
"552",524,526
"553",524,1263
"554",525,552
"555",525,1049
"556",526,1031
"557",526,1251
"558",528,558
"559",528,622
"560",528,980
"561",528,1056
"562",528,1441
"563",529,1422
"564",530,1143
"565",530,1160
"566",531,888
"567",531,1252
"568",532,726
"569",532,1230
"570",534,988
"571",534,1238
"572",535,646
"573",535,724
"574",535,765
"575",535,947
"576",537,992
"577",538,943
"578",541,553
"579",541,564
"580",541,1423
"581",541,1445
"582",544,685
"583",544,1149
"584",548,967
"585",549,1250
"586",549,1263
"587",549,1346
"588",550,650
"589",550,749
"590",550,751
"591",550,991
"592",550,1345
"593",551,964
"594",552,562
"595",552,752
"596",553,1423
"597",553,1445
"598",555,844
"599",556,561
"600",558,622
"601",558,980
"602",558,1056
"603",559,756
"604",559,969
"605",559,1414
"606",562,752
"607",562,954
"608",562,1161
"609",568,718
"610",568,1053
"611",568,1054
"612",570,729
"613",571,574
"614",573,678
"615",573,1333
"616",574,585
"617",576,1290
"618",577,1187
"619",579,654
"620",581,1395
"621",584,1095
"622",584,1322
"623",584,1391
"624",587,644
"625",588,1287
"626",588,1430
"627",589,743
"628",590,677
"629",590,817
"630",590,941
"631",591,966
"632",593,627
"633",595,897
"634",597,1433
"635",598,1363
"636",599,716
"637",600,688
"638",600,698
"639",600,778
"640",600,1349
"641",601,870
"642",602,1141
"643",606,1069
"644",608,1013
"645",608,1390
"646",613,1313
"647",614,1231
"648",615,1000
"649",616,695
"650",617,1182
"651",618,1383
"652",622,1064
"653",627,1168
"654",628,1058
"655",630,991
"656",630,1057
"657",632,857
"658",632,1262
"659",633,856
"660",633,944
"661",633,1244
"662",636,955
"663",638,893
"664",639,1059
"665",639,1146
"666",642,657
"667",642,1179
"668",643,759
"669",646,724
"670",646,765
"671",646,947
"672",649,857
"673",650,749
"674",651,739
"675",652,1244
"676",653,1172
"677",655,818
"678",657,1074
"679",657,1117
"680",661,936
"681",661,1400
"682",664,679
"683",664,1266
"684",664,1370
"685",666,867
"686",666,1112
"687",666,1115
"688",666,1355
"689",672,870
"690",672,886
"691",677,690
"692",677,794
"693",678,1333
"694",680,859
"695",680,1069
"696",680,1378
"697",680,1383
"698",681,771
"699",681,793
"700",683,692
"701",686,721
"702",686,804
"703",688,1087
"704",688,1419
"705",690,1228
"706",691,1333
"707",692,861
"708",698,1197
"709",702,801
"710",703,926
"711",703,1217
"712",708,1010
"713",711,821
"714",713,1352
"715",716,905
"716",716,931
"717",718,747
"718",718,991
"719",718,1053
"720",719,1160
"721",720,1151
"722",720,1204
"723",721,804
"724",722,1143
"725",724,765
"726",725,968
"727",726,1145
"728",727,846
"729",727,1152
"730",729,749
"731",729,991
"732",730,952
"733",730,1230
"734",733,850
"735",737,1036
"736",739,855
"737",741,1056
"738",744,1345
"739",745,857
"740",747,765
"741",748,911
"742",749,991
"743",749,1159
"744",752,853
"745",753,981
"746",756,869
"747",756,990
"748",756,1415
"749",760,1073
"750",760,1271
"751",760,1316
"752",761,962
"753",761,1019
"754",761,1397
"755",764,1033
"756",765,947
"757",765,1150
"758",766,1134
"759",766,1267
"760",766,1349
"761",767,1135
"762",767,1300
"763",767,1401
"764",768,1007
"765",768,1376
"766",769,1073
"767",769,1129
"768",769,1391
"769",770,1332
"770",777,1084
"771",777,1369
"772",778,779
"773",779,1019
"774",779,1097
"775",779,1226
"776",783,784
"777",783,959
"778",785,821
"779",786,788
"780",786,906
"781",788,906
"782",788,1062
"783",790,1366
"784",793,1226
"785",795,1381
"786",796,839
"787",797,1177
"788",802,885
"789",804,899
"790",807,1205
"791",807,1300
"792",809,1196
"793",809,1360
"794",812,1446
"795",813,1004
"796",814,822
"797",817,941
"798",818,1188
"799",826,893
"800",826,997
"801",832,1179
"802",833,1450
"803",836,1187
"804",836,1335
"805",838,1461
"806",841,958
"807",842,854
"808",846,942
"809",846,972
"810",846,1063
"811",846,1152
"812",856,1447
"813",859,1069
"814",859,1302
"815",859,1378
"816",859,1383
"817",860,862
"818",862,1317
"819",862,1450
"820",865,1108
"821",870,1180
"822",874,901
"823",881,936
"824",884,975
"825",888,1252
"826",890,1061
"827",890,1261
"828",895,1197
"829",898,1011
"830",901,1042
"831",901,1288
"832",906,1019
"833",908,1042
"834",909,1108
"835",914,1363
"836",916,928
"837",916,1039
"838",917,930
"839",919,1009
"840",919,1316
"841",921,935
"842",928,1039
"843",930,1398
"844",939,1009
"845",939,1434
"846",940,962
"847",940,1099
"848",940,1188
"849",942,967
"850",942,1152
"851",943,1263
"852",949,1244
"853",955,1156
"854",956,1040
"855",959,1080
"856",959,1377
"857",962,1188
"858",967,1010
"859",967,1064
"860",968,1434
"861",971,1215
"862",976,1075
"863",977,1011
"864",977,1406
"865",978,1201
"866",978,1430
"867",980,1064
"868",990,1160
"869",991,1054
"870",994,1391
"871",995,1285
"872",995,1428
"873",996,1217
"874",996,1404
"875",1000,1378
"876",1002,1292
"877",1003,1004
"878",1003,1028
"879",1004,1181
"880",1005,1356
"881",1007,1376
"882",1008,1391
"883",1009,1316
"884",1017,1030
"885",1019,1226
"886",1030,1127
"887",1031,1049
"888",1033,1167
"889",1035,1051
"890",1049,1170
"891",1053,1054
"892",1055,1146
"893",1059,1444
"894",1061,1261
"895",1062,1291
"896",1069,1302
"897",1071,1085
"898",1071,1369
"899",1072,1369
"900",1080,1312
"901",1084,1085
"902",1084,1208
"903",1085,1369
"904",1087,1419
"905",1088,1212
"906",1095,1322
"907",1097,1270
"908",1102,1119
"909",1102,1138
"910",1110,1450
"911",1112,1355
"912",1115,1355
"913",1118,1383
"914",1119,1452
"915",1121,1267
"916",1121,1349
"917",1124,1388
"918",1129,1391
"919",1130,1372
"920",1134,1361
"921",1142,1250
"922",1143,1160
"923",1143,1415
"924",1144,1246
"925",1147,1239
"926",1151,1170
"927",1153,1242
"928",1153,1261
"929",1153,1356
"930",1154,1161
"931",1157,1163
"932",1160,1415
"933",1175,1271
"934",1176,1375
"935",1177,1392
"936",1178,1281
"937",1179,1272
"938",1187,1335
"939",1189,1428
"940",1189,1454
"941",1196,1357
"942",1196,1360
"943",1201,1430
"944",1203,1452
"945",1204,1255
"946",1206,1322
"947",1217,1404
"948",1221,1432
"949",1221,1458
"950",1222,1369
"951",1228,1432
"952",1231,1330
"953",1237,1260
"954",1252,1256
"955",1254,1258
"956",1260,1344
"957",1265,1417
"958",1266,1370
"959",1269,1337
"960",1277,1453
"961",1279,1382
"962",1284,1342
"963",1299,1424
"964",1300,1401
"965",1312,1429
"966",1323,1324
"967",1337,1453
"968",1338,1363
"969",1338,1459
"970",1353,1441
"971",1354,1365
"972",1356,1420
"973",1381,1389
"974",1385,1419
