"id","Race"
"1","Black"
"2","Black"
"3","Black"
"4","Hisp"
"5","Black"
"6","White"
"7","White"
"8","White"
"9","White"
"10","White"
"11","White"
"12","White"
"13","White"
"14","White"
"15","White"
"16","White"
"17","White"
"18","White"
"19","White"
"20","White"
"21","White"
"22","White"
"23","Asian"
"24","White"
"25","White"
"26","White"
"27","Black"
"28","White"
"29","White"
"30","Black"
"31","White"
"32","Asian"
"33","White"
"34","Black"
"35","White"
"36","White"
"37","White"
"38","White"
"39","Hisp"
"40","White"
"41","Black"
"42","Black"
"43","White"
"44","White"
"45","Black"
"46","White"
"47","Black"
"48","White"
"49","Black"
"50","White"
"51","White"
"52","White"
"53","White"
"54","White"
"55","White"
"56","Black"
"57","White"
"58","White"
"59","White"
"60","White"
"61","White"
"62","White"
"63","White"
"64","White"
"65","Hisp"
"66","White"
"67","White"
"68","Hisp"
"69","White"
"70","Black"
"71","White"
"72","NatAm"
"73","White"
"74","White"
"75","White"
"76","White"
"77","Hisp"
"78","Hisp"
"79","White"
"80","White"
"81","Asian"
"82","White"
"83","White"
"84","White"
"85","Black"
"86","White"
"87","White"
"88","White"
"89","Black"
"90","White"
"91","Black"
"92","White"
"93","Black"
"94","Black"
"95","Other"
"96","White"
"97","White"
"98","Asian"
"99","White"
"100","White"
"101","Black"
"102","White"
"103","Black"
"104","Black"
"105","White"
"106","Black"
"107","White"
"108","White"
"109","Black"
"110","Asian"
"111","White"
"112","White"
"113","Hisp"
"114","NatAm"
"115","Black"
"116","White"
"117","White"
"118","White"
"119","White"
"120","White"
"121","White"
"122","White"
"123","White"
"124","White"
"125","White"
"126","White"
"127","White"
"128","White"
"129","Black"
"130","White"
"131","White"
"132","White"
"133","White"
"134","White"
"135","White"
"136","White"
"137","White"
"138","White"
"139","Black"
"140","White"
"141","White"
"142","Hisp"
"143","White"
"144","White"
"145","White"
"146","White"
"147","Black"
"148","White"
"149","Black"
"150","White"
"151","White"
"152","White"
"153","Asian"
"154","Black"
"155","White"
"156","White"
"157","White"
"158","White"
"159","White"
"160","Black"
"161","White"
"162","White"
"163","Black"
"164","Black"
"165","Hisp"
"166","White"
"167","White"
"168","Black"
"169","Black"
"170","White"
"171","Black"
"172","Asian"
"173","White"
"174","Black"
"175","White"
"176","White"
"177","White"
"178","White"
"179","Black"
"180","White"
"181","Black"
"182","White"
"183","White"
"184","Black"
"185","White"
"186","Black"
"187","White"
"188","Black"
"189","White"
"190","White"
"191","White"
"192","Black"
"193","White"
"194","White"
"195","White"
"196","White"
"197","White"
"198","White"
"199","White"
"200","White"
"201","White"
"202","White"
"203","White"
"204","White"
"205","Black"
"206","White"
"207","White"
"208","Black"
"209","White"
"210","White"
"211","White"
"212","Black"
"213","White"
"214","Black"
"215","White"
"216","White"
"217","White"
"218","White"
"219","White"
"220","White"
"221","White"
"222","White"
"223","White"
"224","White"
"225","White"
"226","White"
"227","White"
"228","Black"
"229","White"
"230","Asian"
"231","White"
"232","Hisp"
"233","White"
"234","White"
"235","White"
"236","White"
"237","White"
"238","White"
"239","White"
"240","White"
"241","White"
"242","Black"
"243","Black"
"244","White"
"245","White"
"246","White"
"247","Black"
"248","White"
"249","White"
"250","White"
"251","White"
"252","Hisp"
"253","Black"
"254","White"
"255","White"
"256","Black"
"257","White"
"258","White"
"259","White"
"260","White"
"261","Black"
"262","White"
"263","White"
"264","White"
"265","White"
"266","White"
"267","White"
"268","White"
"269","White"
"270","White"
"271","White"
"272","Hisp"
"273","White"
"274","White"
"275","White"
"276","Hisp"
"277","White"
"278","White"
"279","White"
"280","Black"
"281","White"
"282","White"
"283","Hisp"
"284","Black"
"285","White"
"286","Black"
"287","White"
"288","White"
"289","Black"
"290","White"
"291","White"
"292","White"
"293","Black"
"294","White"
"295","Black"
"296","White"
"297","White"
"298","White"
"299","White"
"300","White"
"301","NatAm"
"302","White"
"303","White"
"304","White"
"305","White"
"306","White"
"307","White"
"308","White"
"309","Black"
"310","Black"
"311","White"
"312","Black"
"313","Black"
"314","White"
"315","White"
"316","White"
"317","White"
"318","White"
"319","Hisp"
"320","NatAm"
"321","White"
"322","Black"
"323","Asian"
"324","White"
"325","White"
"326","White"
"327","White"
"328","White"
"329","White"
"330","White"
"331","White"
"332","White"
"333","White"
"334","White"
"335","White"
"336","Black"
"337","White"
"338","White"
"339","White"
"340","Black"
"341","White"
"342","White"
"343","White"
"344","White"
"345","Hisp"
"346","White"
"347","White"
"348","White"
"349","Black"
"350","White"
"351","White"
"352","Black"
"353","Black"
"354","Hisp"
"355","Asian"
"356","White"
"357","White"
"358","White"
"359","White"
"360","White"
"361","White"
"362","Black"
"363","White"
"364","White"
"365","White"
"366","White"
"367","White"
"368","Black"
"369","White"
"370","White"
"371","White"
"372","White"
"373","White"
"374","White"
"375","White"
"376","White"
"377","White"
"378","White"
"379","Black"
"380","Black"
"381","White"
"382","White"
"383","White"
"384","White"
"385","White"
"386","White"
"387","Black"
"388","White"
"389","White"
"390","NatAm"
"391","White"
"392","White"
"393","White"
"394","White"
"395","White"
"396","White"
"397","White"
"398","White"
"399","NatAm"
"400","Black"
"401","White"
"402","White"
"403","White"
"404","Black"
"405","Black"
"406","Black"
"407","White"
"408","White"
"409","White"
"410","Asian"
"411","White"
"412","White"
"413","White"
"414","Asian"
"415","White"
"416","White"
"417","White"
"418","Black"
"419","White"
"420","White"
"421","Hisp"
"422","White"
"423","White"
"424","White"
"425","White"
"426","White"
"427","White"
"428","Black"
"429","White"
"430","White"
"431","Black"
"432","White"
"433","White"
"434","Black"
"435","White"
"436","Black"
"437","White"
"438","White"
"439","White"
"440","White"
"441","White"
"442","Black"
"443","White"
"444","White"
"445","Black"
"446","Black"
"447","White"
"448","White"
"449","White"
"450","White"
"451","Black"
"452","White"
"453","Black"
"454","Asian"
"455","Black"
"456","White"
"457","White"
"458","White"
"459","Black"
"460","White"
"461","White"
"462","White"
"463","White"
"464","Black"
"465","White"
"466","White"
"467","Black"
"468","White"
"469","White"
"470","Asian"
"471","Black"
"472","White"
"473","Black"
"474","NatAm"
"475","White"
"476","Black"
"477","Asian"
"478","White"
"479","White"
"480","White"
"481","White"
"482","Black"
"483","White"
"484","White"
"485","White"
"486","White"
"487","White"
"488","Black"
"489","White"
"490","White"
"491","Black"
"492","White"
"493","White"
"494","White"
"495","White"
"496","White"
"497","White"
"498","White"
"499","White"
"500","White"
"501","White"
"502","White"
"503","White"
"504","White"
"505","White"
"506","White"
"507","White"
"508","White"
"509","Hisp"
"510","White"
"511","White"
"512","White"
"513","Black"
"514","Asian"
"515","White"
"516","White"
"517","White"
"518","White"
"519","White"
"520","White"
"521","Black"
"522","White"
"523","White"
"524","Hisp"
"525","Black"
"526","Black"
"527","White"
"528","White"
"529","Black"
"530","White"
"531","White"
"532","White"
"533","White"
"534","Black"
"535","White"
"536","White"
"537","White"
"538","Black"
"539","Asian"
"540","White"
"541","White"
"542","White"
"543","Black"
"544","Black"
"545","White"
"546","White"
"547","White"
"548","White"
"549","Black"
"550","White"
"551","Black"
"552","White"
"553","White"
"554","White"
"555","Black"
"556","Black"
"557","White"
"558","White"
"559","White"
"560","Hisp"
"561","NatAm"
"562","White"
"563","White"
"564","White"
"565","Black"
"566","White"
"567","White"
"568","White"
"569","White"
"570","White"
"571","White"
"572","White"
"573","White"
"574","White"
"575","White"
"576","White"
"577","White"
"578","White"
"579","White"
"580","White"
"581","White"
"582","White"
"583","White"
"584","White"
"585","White"
"586","White"
"587","Black"
"588","White"
"589","White"
"590","White"
"591","White"
"592","Asian"
"593","White"
"594","White"
"595","White"
"596","White"
"597","White"
"598","White"
"599","White"
"600","White"
"601","Black"
"602","White"
"603","Asian"
"604","Asian"
"605","White"
"606","White"
"607","White"
"608","NatAm"
"609","White"
"610","Black"
"611","White"
"612","White"
"613","Black"
"614","White"
"615","White"
"616","White"
"617","White"
"618","White"
"619","White"
"620","White"
"621","White"
"622","White"
"623","Asian"
"624","White"
"625","White"
"626","Black"
"627","White"
"628","White"
"629","Black"
"630","White"
"631","White"
"632","Black"
"633","White"
"634","Black"
"635","Black"
"636","White"
"637","White"
"638","Black"
"639","White"
"640","Black"
"641","White"
"642","White"
"643","White"
"644","White"
"645","Black"
"646","White"
"647","White"
"648","Black"
"649","Black"
"650","White"
"651","Black"
"652","White"
"653","White"
"654","White"
"655","Asian"
"656","White"
"657","White"
"658","White"
"659","White"
"660","White"
"661","White"
"662","White"
"663","Black"
"664","White"
"665","White"
"666","Black"
"667","White"
"668","Black"
"669","Black"
"670","White"
"671","White"
"672","Black"
"673","Black"
"674","White"
"675","White"
"676","White"
"677","White"
"678","White"
"679","White"
"680","White"
"681","Hisp"
"682","White"
"683","White"
"684","Asian"
"685","Black"
"686","White"
"687","White"
"688","White"
"689","White"
"690","White"
"691","White"
"692","White"
"693","White"
"694","White"
"695","White"
"696","Black"
"697","Asian"
"698","White"
"699","White"
"700","White"
"701","Black"
"702","White"
"703","White"
"704","Black"
"705","White"
"706","White"
"707","White"
"708","White"
"709","Black"
"710","White"
"711","Black"
"712","White"
"713","White"
"714","Hisp"
"715","Hisp"
"716","White"
"717","White"
"718","White"
"719","White"
"720","White"
"721","White"
"722","White"
"723","White"
"724","White"
"725","White"
"726","White"
"727","White"
"728","Hisp"
"729","White"
"730","NatAm"
"731","Black"
"732","White"
"733","Black"
"734","White"
"735","Black"
"736","White"
"737","White"
"738","Black"
"739","White"
"740","White"
"741","White"
"742","White"
"743","White"
"744","White"
"745","Black"
"746","White"
"747","White"
"748","White"
"749","White"
"750","White"
"751","White"
"752","Black"
"753","White"
"754","White"
"755","NatAm"
"756","White"
"757","White"
"758","Black"
"759","White"
"760","White"
"761","White"
"762","White"
"763","White"
"764","White"
"765","White"
"766","White"
"767","White"
"768","White"
"769","White"
"770","Black"
"771","White"
"772","White"
"773","White"
"774","Hisp"
"775","White"
"776","White"
"777","White"
"778","White"
"779","White"
"780","Hisp"
"781","White"
"782","White"
"783","Hisp"
"784","White"
"785","White"
"786","White"
"787","White"
"788","White"
"789","White"
"790","White"
"791","Black"
"792","Hisp"
"793","White"
"794","White"
"795","White"
"796","Hisp"
"797","White"
"798","White"
"799","White"
"800","Black"
"801","White"
"802","White"
"803","White"
"804","White"
"805","White"
"806","White"
"807","White"
"808","Black"
"809","White"
"810","White"
"811","White"
"812","White"
"813","NatAm"
"814","White"
"815","White"
"816","White"
"817","White"
"818","White"
"819","Black"
"820","White"
"821","Black"
"822","White"
"823","Black"
"824","White"
"825","White"
"826","Black"
"827","Hisp"
"828","Black"
"829","Hisp"
"830","White"
"831","Hisp"
"832","White"
"833","White"
"834","Black"
"835","White"
"836","White"
"837","White"
"838","White"
"839","Black"
"840","Hisp"
"841","Black"
"842","Black"
"843","White"
"844","Black"
"845","Hisp"
"846","White"
"847","White"
"848","Hisp"
"849","Hisp"
"850","Black"
"851","Hisp"
"852","White"
"853","White"
"854","Black"
"855","Hisp"
"856","White"
"857","Black"
"858","White"
"859","White"
"860","White"
"861","White"
"862","White"
"863","Hisp"
"864","White"
"865","White"
"866","White"
"867","White"
"868","White"
"869","White"
"870","Black"
"871","Hisp"
"872","Black"
"873","White"
"874","White"
"875","White"
"876","White"
"877","White"
"878","Hisp"
"879","White"
"880","Black"
"881","White"
"882","Black"
"883","White"
"884","Hisp"
"885","White"
"886","Hisp"
"887","White"
"888","White"
"889","White"
"890","NatAm"
"891","White"
"892","White"
"893","Black"
"894","White"
"895","White"
"896","NatAm"
"897","White"
"898","White"
"899","White"
"900","Hisp"
"901","Hisp"
"902","White"
"903","Hisp"
"904","White"
"905","White"
"906","NatAm"
"907","White"
"908","White"
"909","Asian"
"910","White"
"911","White"
"912","White"
"913","White"
"914","White"
"915","White"
"916","White"
"917","White"
"918","Black"
"919","White"
"920","Black"
"921","White"
"922","Black"
"923","White"
"924","Hisp"
"925","White"
"926","White"
"927","Black"
"928","White"
"929","White"
"930","White"
"931","White"
"932","Black"
"933","Black"
"934","White"
"935","White"
"936","White"
"937","White"
"938","Other"
"939","White"
"940","White"
"941","White"
"942","White"
"943","Black"
"944","White"
"945","White"
"946","Black"
"947","White"
"948","White"
"949","White"
"950","White"
"951","White"
"952","Black"
"953","White"
"954","NatAm"
"955","White"
"956","White"
"957","Hisp"
"958","Black"
"959","White"
"960","White"
"961","White"
"962","White"
"963","White"
"964","Black"
"965","White"
"966","White"
"967","White"
"968","White"
"969","White"
"970","White"
"971","Black"
"972","White"
"973","White"
"974","White"
"975","White"
"976","White"
"977","White"
"978","White"
"979","Black"
"980","White"
"981","White"
"982","Black"
"983","White"
"984","White"
"985","Hisp"
"986","White"
"987","Asian"
"988","Asian"
"989","Black"
"990","White"
"991","White"
"992","White"
"993","White"
"994","White"
"995","White"
"996","White"
"997","Black"
"998","White"
"999","White"
"1000","White"
"1001","White"
"1002","Asian"
"1003","Black"
"1004","White"
"1005","White"
"1006","White"
"1007","White"
"1008","White"
"1009","White"
"1010","White"
"1011","White"
"1012","White"
"1013","NatAm"
"1014","White"
"1015","White"
"1016","White"
"1017","White"
"1018","White"
"1019","White"
"1020","White"
"1021","White"
"1022","White"
"1023","White"
"1024","White"
"1025","Asian"
"1026","White"
"1027","White"
"1028","White"
"1029","White"
"1030","White"
"1031","Black"
"1032","White"
"1033","White"
"1034","White"
"1035","Other"
"1036","White"
"1037","Asian"
"1038","White"
"1039","White"
"1040","White"
"1041","Hisp"
"1042","White"
"1043","White"
"1044","White"
"1045","Black"
"1046","White"
"1047","Hisp"
"1048","Black"
"1049","Black"
"1050","NatAm"
"1051","White"
"1052","White"
"1053","White"
"1054","Asian"
"1055","White"
"1056","White"
"1057","White"
"1058","Asian"
"1059","White"
"1060","Black"
"1061","White"
"1062","Black"
"1063","White"
"1064","White"
"1065","Black"
"1066","Black"
"1067","Black"
"1068","White"
"1069","White"
"1070","White"
"1071","White"
"1072","White"
"1073","White"
"1074","White"
"1075","White"
"1076","White"
"1077","White"
"1078","White"
"1079","Black"
"1080","Other"
"1081","White"
"1082","White"
"1083","NatAm"
"1084","White"
"1085","White"
"1086","Other"
"1087","White"
"1088","White"
"1089","White"
"1090","White"
"1091","White"
"1092","White"
"1093","Asian"
"1094","White"
"1095","White"
"1096","White"
"1097","White"
"1098","White"
"1099","White"
"1100","White"
"1101","White"
"1102","White"
"1103","White"
"1104","Asian"
"1105","Hisp"
"1106","Black"
"1107","White"
"1108","White"
"1109","Black"
"1110","White"
"1111","Black"
"1112","Black"
"1113","White"
"1114","White"
"1115","Black"
"1116","Hisp"
"1117","White"
"1118","White"
"1119","White"
"1120","Asian"
"1121","White"
"1122","White"
"1123","NatAm"
"1124","White"
"1125","White"
"1126","White"
"1127","White"
"1128","Asian"
"1129","White"
"1130","White"
"1131","Asian"
"1132","Black"
"1133","Other"
"1134","White"
"1135","White"
"1136","White"
"1137","White"
"1138","White"
"1139","White"
"1140","White"
"1141","White"
"1142","Black"
"1143","White"
"1144","Black"
"1145","White"
"1146","White"
"1147","Black"
"1148","White"
"1149","Black"
"1150","Black"
"1151","White"
"1152","White"
"1153","White"
"1154","Black"
"1155","White"
"1156","White"
"1157","Black"
"1158","White"
"1159","Black"
"1160","White"
"1161","White"
"1162","White"
"1163","Black"
"1164","White"
"1165","White"
"1166","Black"
"1167","White"
"1168","Hisp"
"1169","Hisp"
"1170","White"
"1171","Black"
"1172","White"
"1173","Black"
"1174","White"
"1175","White"
"1176","White"
"1177","White"
"1178","White"
"1179","White"
"1180","Black"
"1181","White"
"1182","White"
"1183","White"
"1184","Black"
"1185","Black"
"1186","White"
"1187","White"
"1188","White"
"1189","White"
"1190","White"
"1191","White"
"1192","White"
"1193","White"
"1194","White"
"1195","Black"
"1196","White"
"1197","White"
"1198","White"
"1199","White"
"1200","White"
"1201","White"
"1202","White"
"1203","White"
"1204","White"
"1205","White"
"1206","White"
"1207","White"
"1208","Black"
"1209","White"
"1210","White"
"1211","White"
"1212","White"
"1213","White"
"1214","NatAm"
"1215","Black"
"1216","White"
"1217","White"
"1218","White"
"1219","White"
"1220","White"
"1221","White"
"1222","White"
"1223","Black"
"1224","White"
"1225","White"
"1226","White"
"1227","White"
"1228","White"
"1229","White"
"1230","Asian"
"1231","White"
"1232","Black"
"1233","Black"
"1234","White"
"1235","White"
"1236","Black"
"1237","White"
"1238","Black"
"1239","Black"
"1240","White"
"1241","Black"
"1242","Black"
"1243","White"
"1244","White"
"1245","White"
"1246","White"
"1247","Black"
"1248","Black"
"1249","Asian"
"1250","Hisp"
"1251","Hisp"
"1252","White"
"1253","Black"
"1254","White"
"1255","White"
"1256","White"
"1257","White"
"1258","Hisp"
"1259","White"
"1260","White"
"1261","White"
"1262","Black"
"1263","Black"
"1264","Black"
"1265","Black"
"1266","White"
"1267","White"
"1268","White"
"1269","White"
"1270","White"
"1271","White"
"1272","White"
"1273","White"
"1274","White"
"1275","White"
"1276","White"
"1277","White"
"1278","White"
"1279","White"
"1280","White"
"1281","White"
"1282","Hisp"
"1283","White"
"1284","White"
"1285","White"
"1286","White"
"1287","Hisp"
"1288","White"
"1289","Hisp"
"1290","White"
"1291","Black"
"1292","White"
"1293","Black"
"1294","White"
"1295","White"
"1296","White"
"1297","White"
"1298","White"
"1299","White"
"1300","White"
"1301","Black"
"1302","White"
"1303","White"
"1304","White"
"1305","White"
"1306","White"
"1307","Black"
"1308","White"
"1309","White"
"1310","White"
"1311","Black"
"1312","White"
"1313","Black"
"1314","NatAm"
"1315","Black"
"1316","White"
"1317","White"
"1318","White"
"1319","Hisp"
"1320","White"
"1321","Black"
"1322","White"
"1323","Black"
"1324","Black"
"1325","Black"
"1326","White"
"1327","White"
"1328","White"
"1329","Black"
"1330","White"
"1331","White"
"1332","Black"
"1333","White"
"1334","Asian"
"1335","Asian"
"1336","Black"
"1337","White"
"1338","White"
"1339","White"
"1340","White"
"1341","White"
"1342","White"
"1343","Black"
"1344","White"
"1345","Black"
"1346","Black"
"1347","White"
"1348","White"
"1349","White"
"1350","White"
"1351","Hisp"
"1352","White"
"1353","White"
"1354","Black"
"1355","Black"
"1356","Asian"
"1357","White"
"1358","White"
"1359","Hisp"
"1360","White"
"1361","White"
"1362","White"
"1363","White"
"1364","White"
"1365","White"
"1366","White"
"1367","White"
"1368","Asian"
"1369","White"
"1370","NatAm"
"1371","Hisp"
"1372","White"
"1373","Black"
"1374","White"
"1375","White"
"1376","White"
"1377","White"
"1378","White"
"1379","White"
"1380","White"
"1381","White"
"1382","White"
"1383","White"
"1384","White"
"1385","White"
"1386","Black"
"1387","White"
"1388","Asian"
"1389","White"
"1390","White"
"1391","White"
"1392","White"
"1393","White"
"1394","White"
"1395","White"
"1396","White"
"1397","White"
"1398","White"
"1399","Black"
"1400","White"
"1401","White"
"1402","Black"
"1403","White"
"1404","White"
"1405","White"
"1406","White"
"1407","White"
"1408","White"
"1409","White"
"1410","Asian"
"1411","White"
"1412","White"
"1413","White"
"1414","White"
"1415","White"
"1416","White"
"1417","Black"
"1418","Black"
"1419","Asian"
"1420","Asian"
"1421","White"
"1422","White"
"1423","White"
"1424","White"
"1425","NatAm"
"1426","White"
"1427","White"
"1428","White"
"1429","White"
"1430","White"
"1431","White"
"1432","White"
"1433","White"
"1434","White"
"1435","White"
"1436","Hisp"
"1437","White"
"1438","White"
"1439","Other"
"1440","White"
"1441","White"
"1442","White"
"1443","White"
"1444","White"
"1445","White"
"1446","White"
"1447","White"
"1448","White"
"1449","Asian"
"1450","White"
"1451","White"
"1452","Hisp"
"1453","White"
"1454","White"
"1455","White"
"1456","Black"
"1457","White"
"1458","White"
"1459","White"
"1460","White"
"1461","White"
